Antibody,Virus,IC50,IC80,ID50
10-1074,3301_V1_C24,0.018,0.065,
10-1074,3301_V1_C24,0.013,0.042,
10-1074,3301_V1_C24,0.011,,
10-1074,3312_D6_2,0.043,,
10-1074,3312_D6_2,0.043,0.149,
10-1074,3337_V2_C6,0.008,,
10-1074,3337_V2_C6,0.008,,
10-1074,3337_V2_C6,0.008,,
10-1074,3337_V2_C6,0.057,0.15,
10-1074,3337_V2_C6,0.008,,
10-1074,3337_V2_C6,0.008,0.07,
10-1074,3365_V2_C20,0.003,,
10-1074,3365_V2_C20,0.003,,
10-1074,3365_V2_C20,0.16,,
10-1074,3365_V2_C20,0.003,,
10-1074,3365_V2_C20,0.131,,
10-1074,3365_V2_C20,0.083,0.247,
10-1074,3365_V2_C20,0.057,0.200,
10-1074,3365_V2_C20,0.003,,
10-1074,3365_V2_C20,0.003,0.057,
10-1074,3365_V2_C20,0.131,0.45,
10-1074,3426_V5_C17,0.008,,
